City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barentu,15.1139,37.5928,18.95,87,98,2.78,ER,1693433482
1,kapuskasing,49.4169,-82.4331,19.77,49,55,3.2,CA,1693433309
2,lebu,-37.6167,-73.65,9.97,73,38,1.8,CL,1693433483
3,port-aux-francais,-49.35,70.2167,4.99,90,100,18.85,TF,1693433483
4,ushuaia,-54.8,-68.3,1.25,95,97,1.94,AR,1693433483
5,gerolstein,50.2222,6.6598,11.5,94,61,1.85,DE,1693433483
6,minas de marcona,-15.2119,-75.1103,14.21,80,27,7.94,PE,1693433484
7,puerto natales,-51.7236,-72.4875,2.61,87,99,5.0,CL,1693433484
8,hedaru,-4.5,37.9,19.38,88,4,2.08,TZ,1693433484
9,brisas de zicatela,15.8369,-97.0419,31.29,55,75,2.57,MX,1693433484
10,dunedin,-45.8742,170.5036,12.11,64,16,1.53,NZ,1693433201
11,dawei,14.0833,98.2,24.9,92,100,0.44,MM,1693433484
12,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,1693433485
13,cabedelo,-6.9811,-34.8339,25.37,82,0,4.68,BR,1693433125
14,crane,31.3974,-102.3501,33.03,20,1,0.63,US,1693433218
15,constantia,44.1833,28.65,24.38,79,57,3.42,RO,1693432967
16,tome acu,-2.4189,-48.1522,31.46,38,65,1.52,BR,1693433485
17,albany,42.6001,-73.9662,22.98,68,26,0.89,US,1693433210
18,college,64.8569,-147.8028,13.97,88,100,2.57,US,1693433485
19,lihue,21.9789,-159.3672,29.77,70,40,6.17,US,1693432733
20,stanley,54.868,-1.6985,11.14,91,0,1.54,GB,1693433486
21,iqaluit,63.7506,-68.5145,4.83,80,75,5.81,CA,1693433486
22,chonchi,-42.6128,-73.8092,6.73,79,100,3.0,CL,1693433486
23,longyearbyen,78.2186,15.6401,6.91,93,100,3.09,SJ,1693433486
24,porangatu,-13.4408,-49.1486,28.63,53,77,1.5,BR,1693433486
25,puerto deseado,-47.7503,-65.8938,8.87,37,76,8.32,AR,1693433487
26,edinburgh of the seven seas,-37.0676,-12.3116,11.86,69,32,7.46,SH,1693433487
27,qaqortoq,60.7167,-46.0333,6.92,97,100,6.81,GL,1693432899
28,xiahu,26.6106,119.9483,26.3,83,63,8.12,CN,1693433487
29,fale old settlement,-9.3852,-171.2468,28.46,77,32,6.82,TK,1693433487
30,dryden,49.7833,-92.7503,22.16,53,20,2.57,CA,1693433487
31,blackmans bay,-43.0167,147.3167,12.07,84,100,4.6,AU,1693433488
32,abou el hassan,36.4166,1.1962,23.1,72,76,3.92,DZ,1693433488
33,adamstown,-25.066,-130.1015,20.78,89,100,8.84,PN,1693433488
34,betio village,1.358,172.9211,31.02,75,8,5.34,KI,1693433488
35,waitangi,-43.9535,-176.5597,11.57,84,96,2.24,NZ,1693433488
36,bilibino,68.0546,166.4372,9.09,96,100,6.25,RU,1693433488
37,st. john's,47.5649,-52.7093,18.77,96,100,8.75,CA,1693433284
38,punta arenas,-53.15,-70.9167,3.21,78,88,6.75,CL,1693433489
39,san ignacio de velasco,-16.3667,-60.95,32.65,27,7,2.16,BO,1693433489
40,santa ana,33.7456,-117.8678,41.15,54,20,6.17,US,1693433352
41,coyhaique,-45.5752,-72.0662,3.97,75,75,2.06,CL,1693433274
42,tufanganj,26.3167,89.6667,26.78,80,3,1.87,IN,1693433489
43,el nido,11.1858,119.3956,27.86,82,100,7.56,PH,1693433489
44,ciudad lazaro cardenas,17.9583,-102.2,30.31,69,64,3.43,MX,1693433490
45,cruzeiro do oeste,-23.785,-53.0733,23.09,58,56,1.51,BR,1693433490
46,egilsstadir,65.2653,-14.3948,7.95,93,100,3.09,IS,1693433490
47,mermoz boabab,14.7065,-17.4758,26.31,84,99,7.65,SN,1693433495
48,hawaiian paradise park,19.5933,-154.9731,26.73,88,100,4.63,US,1693433495
49,wailua homesteads,22.0669,-159.378,30.44,75,75,6.69,US,1693433495
50,christchurch,-43.5333,172.6333,13.6,64,1,1.03,NZ,1693433273
51,gaspe,48.8334,-64.4819,17.12,100,100,2.06,CA,1693433496
52,tarifa,36.0139,-5.607,24.97,83,2,2.61,ES,1693433496
53,yellowknife,62.456,-114.3525,24.71,46,5,3.63,CA,1693433445
54,cururupu,-1.8283,-44.8683,25.4,83,11,2.4,BR,1693433496
55,amga,60.8953,131.9608,16.82,76,18,1.13,RU,1693433496
56,quellon,-43.1167,-73.6167,10.14,66,40,5.66,CL,1693432974
57,bethel,41.3712,-73.414,27.23,64,0,3.6,US,1693433285
58,ribeira brava,32.65,-17.0667,23.35,74,62,2.54,PT,1693433497
59,grytviken,-54.2811,-36.5092,-2.86,77,50,3.41,GS,1693433497
60,ola,59.5833,151.2833,12.37,92,98,3.4,RU,1693433217
61,dubbo,-32.25,148.6167,9.07,93,38,1.54,AU,1693433497
62,hastings,50.8552,0.5729,15.44,32,94,3.51,GB,1693433497
63,polyarnyy,69.1989,33.4478,11.42,85,17,3.51,RU,1693433498
64,kalmunai,7.4167,81.8167,26.0,83,100,1.51,LK,1693432903
65,mili,6.0815,171.735,28.38,78,36,4.04,MH,1693433498
66,mount pearl,47.5166,-52.7813,18.31,97,100,7.72,CA,1693433498
67,ilulissat,69.2167,-51.1,5.01,87,75,0.0,GL,1693433498
68,talara,-4.5772,-81.2719,24.42,73,0,8.39,PE,1693433498
69,oskarshamn,57.2645,16.4484,13.88,91,98,2.02,SE,1693433249
70,bac lieu,9.285,105.7244,26.46,88,100,4.17,VN,1693433499
71,taro,-8.3862,115.28,21.03,95,90,1.18,ID,1693433499
72,haenam,34.5711,126.5989,21.21,83,86,2.57,KR,1693433499
73,papatowai,-46.5619,169.4708,10.37,63,26,2.56,NZ,1693433499
74,kotel'nich,58.3089,48.348,9.64,90,72,2.94,RU,1693433499
75,bethanie,-26.4833,17.15,20.26,50,0,4.1,NA,1693433499
76,port hedland,-20.3167,118.5667,17.03,31,5,3.6,AU,1693433500
77,lompoc,34.6391,-120.4579,32.1,44,0,3.09,US,1693432801
78,east london,-33.0153,27.9116,21.09,41,0,3.81,ZA,1693433500
79,mbuji-mayi,-6.15,23.6,26.49,29,6,1.04,CD,1693433500
80,san patricio,28.017,-97.5169,38.42,19,0,3.37,US,1693433500
81,olonkinbyen,70.9221,-8.7187,5.27,82,47,2.68,SJ,1693433500
82,margaret river,-33.95,115.0667,9.33,83,2,4.37,AU,1693433501
83,sinabang,2.4803,96.3801,26.08,86,97,1.43,ID,1693432904
84,kittila,67.6647,24.8936,11.08,100,0,0.51,FI,1693433501
85,callao,-12.0667,-77.15,22.62,73,100,5.14,PE,1693433501
86,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1693433485
87,vorsma,55.9856,43.2717,9.91,83,10,1.3,RU,1693433501
88,puerto ayora,-0.7393,-90.3518,29.98,91,87,5.36,EC,1693433501
89,thompson,55.7435,-97.8558,22.09,64,40,2.06,CA,1693433501
90,fort st. john,56.2499,-120.8529,27.83,27,100,3.93,CA,1693433239
91,port augusta,-32.5,137.7667,11.57,76,100,2.11,AU,1693433502
92,rongelap,11.1635,166.8941,28.45,79,100,6.89,MH,1693433502
93,port elizabeth,-33.918,25.5701,20.58,39,0,3.21,ZA,1693433395
94,aasiaat,68.7098,-52.8699,2.89,92,100,5.24,GL,1693433505
95,singkil,-7.9855,111.4161,20.74,92,95,1.9,ID,1693433505
96,ribeira grande,38.5167,-28.7,23.76,88,31,2.68,PT,1693433506
97,menongue,-14.6585,17.691,13.95,24,0,2.17,AO,1693433242
98,murzuq,25.9155,13.9184,33.25,27,12,7.61,LY,1693433506
99,utrik,11.2278,169.8474,28.54,77,36,6.88,MH,1693433506
100,afaahiti,-17.75,-149.2833,25.93,79,93,5.91,PF,1693433506
101,mount isa,-20.7333,139.5,16.87,45,0,6.69,AU,1693433506
102,la passe,45.5549,-0.8967,16.66,70,49,4.26,FR,1693433506
103,saint-louis,16.3333,-15.0,30.45,60,100,6.66,SN,1693433507
104,awka,6.2101,7.0741,22.95,96,96,2.23,NG,1693433507
105,champoton,19.35,-90.7167,30.67,67,24,4.45,MX,1693433507
106,mao,39.8885,4.2658,22.31,78,20,2.06,ES,1693433390
107,dudinka,69.4058,86.1778,4.79,72,6,6.83,RU,1693432913
108,tweed heads,-28.1817,153.547,18.89,93,93,1.03,AU,1693433507
109,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,82,0,1.0,RU,1693432946
110,nizhnyaya tavda,57.6731,66.1725,9.6,97,100,1.74,RU,1693433508
111,lorengau,-2.0226,147.2712,27.98,79,77,3.94,PG,1693432909
